"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part"
"1","1","C1","10 uF","Device:CP","Capacitor_SMD:CP_Elec_4x5.8","https://www.cde.com/resources/catalogs/AFK.pdf","AFK106M16B12T-F"
"2","2","C2, C4","1 uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CGA4J2X7R1C105K125AA"
"3","5","C3, C6, C7, C8, C9","100 nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R7BB104"
"4","1","C5","10 uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1C106M085AC"
"5","1","D1","MBR120","Device:D_Schottky","Diode_SMD:D_SOD-123","~","MBR120"
"6","1","D2","5V","Device:LED","LED_SMD:LED_0805_2012Metric","~","LSM0805543V"
"7","1","D3","3V3","Device:LED","LED_SMD:LED_0805_2012Metric","~","LSM0805543V"
"11","1","J2","5 TO 6 VDC","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","~","694106301002"
"18","1","R1","8K2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","RT0805FRE078K2L"
"19","3","R2, R3, R7","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","RC0805FR-0710KL"
"20","1","R4","1K6","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","RT0805FRE071K6L"
"21","2","R5, R6","3K3","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","RT0805FRE073K3L"
"22","1","SW1","IO0","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","~","KMR221GLFS"
"23","1","SW2","RESET","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","~","KMR221GLFS"
"24","1","U1","AP2112K-3.3","Regulator_Linear:AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","AP2112K-3.3TRG1"
"25","1","U2","SHTC3","Sensor_Humidity:SHTC3","Package_DFN_QFN:AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/0_Datasheets/Humidity/Sensirion_Humidity_Sensors_SHT1x_Datasheet.pdf","SHTC3"
"26","1","U3","BME280","Sensor:BME280","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME280-DS002.pdf","BME280"
